"","longname","shortnam","mort","logmort0","risk","loggdp","latitude","neoeuro","asia","africa","other","rainmin","meantemp","malaria"
"32","Kenya","KEN",145,4.97673368453979,6.05000019073486,7.05999994277954,0.0110999997705221,0,0,1,0,15,18,0.844834983348846
"33","Sri Lanka","LKA",69.8000030517578,4.24563407897949,6.05000019073486,7.73000001907349,0.0777999982237816,0,1,0,0,69,27,0.175311997532845
"34","Morocco","MAR",78.1999969482422,4.35926961898804,7.09000015258789,8.03999996185303,0.355599999427795,0,0,1,0,0,24,0
"35","Madagascar","MDG",536.039978027344,6.28420877456665,4.44999980926514,6.84000015258789,0.222200006246567,0,0,1,0,8,18,1
"36","Mexico","MEX",71,4.26268005371094,7.5,8.9399995803833,0.25560000538826,0,0,0,0,5,16,0.0411299988627434
"37","Mali","MLI",2940,7.98616504669189,4,6.57000017166138,0.188899993896484,0,0,1,0,0,29,0.989924013614655
"38","Malaysia","MYS",17.7000007629395,2.87356472015381,7.94999980926514,8.89000034332275,0.0255999993532896,0,1,0,0,99,28,0.254328012466431
"39","Niger","NER",400,5.99146461486816,5,6.73000001907349,0.177799999713898,0,0,1,0,0,29,0.984229028224945
"40","Nigeria","NGA",2004,7.60290050506592,5.55000019073486,6.80999994277954,0.111100003123283,0,0,1,0,25,28,1
"41","Nicaragua","NIC",163.300003051758,5.09558916091919,5.23000001907349,7.53999996185303,0.144400000572205,0,0,0,0,1,27,0.100000001490116
"42","New Zealand","NZL",8.55000019073486,2.14593124389648,9.72999954223633,9.76000022888184,0.455599993467331,1,0,0,1,81,15,0
"43","Pakistan","PAK",36.9900016784668,3.61064767837524,6.05000019073486,7.34999990463257,0.333299994468689,0,1,0,0,12,22,0.494610995054245
"44","Panama","PAN",163.300003051758,5.09558916091919,5.90999984741211,8.84000015258789,0.100000001490116,0,0,0,0,10,27,0.0309960003942251
"45","Peru","PER",71,4.26268005371094,5.76999998092651,8.39999961853027,0.111100003123283,0,0,0,0,0,22,0.0297369994223118
"46","Paraguay","PRY",78.0999984741211,4.35799026489258,6.94999980926514,8.21000003814697,0.25560000538826,0,0,0,0,38,22,0.000172000000020489
"47","Sudan","SDN",88.1999969482422,4.47960710525513,4,7.30999994277954,0.166700005531311,0,0,1,0,0,29,0.980239987373352
"48","Senegal","SEN",164.660003662109,5.10388278961182,6,7.40000009536743,0.155599996447563,0,0,1,0,0,28,1
"49","Singapore","SGP",17.7000007629395,2.87356472015381,9.31999969482422,10.1499996185303,0.0136000001803041,0,1,0,0,170,28,0
"50","Sierra Leone","SLE",483,6.18001651763916,5.82000017166138,6.25,0.0922000035643578,0,0,1,0,3,27,1
"51","El Salvador","SLV",78.0999984741211,4.35799026489258,5,7.94999980926514,0.150000005960464,0,0,0,0,46,24,0
"52","Togo","TGO",668,6.50428819656372,6.90999984741211,7.21999979019165,0.0888999998569489,0,0,1,0,15,27,1
"53","Trinidad and Tobago","TTO",85,4.44265127182007,7.44999980926514,8.77000045776367,0.12219999730587,0,0,0,0,41,26,0
"54","Tunisia","TUN",63,4.14313459396362,6.44999980926514,8.47999954223633,0.377799987792969,0,0,1,0,3,24,0
"55","Tanzania","TZA",145,4.97673368453979,6.6399998664856,6.25,0.0666999965906143,0,0,1,0,0,22,1
"56","Uganda","UGA",280,5.63478946685791,4.44999980926514,6.96999979019165,0.0110999997705221,0,0,1,0,46,24,1
"57","Uruguary","URY",71,4.26268005371094,7,9.02999973297119,0.366699993610382,0,0,0,0,66,20,0
"58","USA","USA",15,2.70805025100708,10,10.2200002670288,0.422199994325638,1,0,0,0,66,12,0
"59","Venezuela","VEN",78.0999984741211,4.35799026489258,7.1399998664856,9.06999969482422,0.0888999998569489,0,0,0,0,10,20,0.0022340000141412
"60","Vietnam","VNM",140,4.94164228439331,6.40999984741211,7.28000020980835,0.177799999713898,0,1,0,0,18,25,0.71545797586441
"61","South Africa","ZAF",15.5,2.74083995819092,6.8600001335144,8.89000034332275,0.322200000286102,0,0,1,0,8,19,0
"62","Zaire","ZAR",240,5.48063898086548,3.5,6.86999988555908,0,0,0,1,0,3,25,1
